temperature_2m_mean,precipitation_sum,date,city,year,month,season
5.7,0.0,2020-01-01,edinburgh,2020,1,Winter
9.1,5.0,2020-01-02,edinburgh,2020,1,Winter
5.8,0.0,2020-01-03,edinburgh,2020,1,Winter
7.9,0.2,2020-01-04,edinburgh,2020,1,Winter
8.9,0.0,2020-01-05,edinburgh,2020,1,Winter
8.2,5.5,2020-01-06,edinburgh,2020,1,Winter
9.9,2.3,2020-01-07,edinburgh,2020,1,Winter
5.4,0.2,2020-01-08,edinburgh,2020,1,Winter
3.3,6.4,2020-01-09,edinburgh,2020,1,Winter
4.0,4.1,2020-01-10,edinburgh,2020,1,Winter
9.3,16.4,2020-01-11,edinburgh,2020,1,Winter
4.8,0.1,2020-01-12,edinburgh,2020,1,Winter
5.4,8.1,2020-01-13,edinburgh,2020,1,Winter
4.5,3.5,2020-01-14,edinburgh,2020,1,Winter
5.4,0.0,2020-01-15,edinburgh,2020,1,Winter
7.2,4.2,2020-01-16,edinburgh,2020,1,Winter
4.7,0.0,2020-01-17,edinburgh,2020,1,Winter
3.7,0.0,2020-01-18,edinburgh,2020,1,Winter
4.1,0.0,2020-01-19,edinburgh,2020,1,Winter
6.4,0.0,2020-01-20,edinburgh,2020,1,Winter
8.8,0.0,2020-01-21,edinburgh,2020,1,Winter
9.6,0.0,2020-01-22,edinburgh,2020,1,Winter
8.1,0.0,2020-01-23,edinburgh,2020,1,Winter
8.3,0.0,2020-01-24,edinburgh,2020,1,Winter
7.5,0.0,2020-01-25,edinburgh,2020,1,Winter
5.7,2.7,2020-01-26,edinburgh,2020,1,Winter
3.2,2.6,2020-01-27,edinburgh,2020,1,Winter
3.2,1.4,2020-01-28,edinburgh,2020,1,Winter
5.4,9.9,2020-01-29,edinburgh,2020,1,Winter
8.5,0.9,2020-01-30,edinburgh,2020,1,Winter
9.9,1.6,2020-01-31,edinburgh,2020,1,Winter
7.5,6.4,2020-02-01,edinburgh,2020,2,Winter
4.7,2.9,2020-02-02,edinburgh,2020,2,Winter
5.3,0.6,2020-02-03,edinburgh,2020,2,Winter
5.7,0.0,2020-02-04,edinburgh,2020,2,Winter
5.4,0.0,2020-02-05,edinburgh,2020,2,Winter
4.5,0.0,2020-02-06,edinburgh,2020,2,Winter
3.5,0.2,2020-02-07,edinburgh,2020,2,Winter
6.6,14.2,2020-02-08,edinburgh,2020,2,Winter
7.3,17.5,2020-02-09,edinburgh,2020,2,Winter
3.5,2.8,2020-02-10,edinburgh,2020,2,Winter
3.1,1.6,2020-02-11,edinburgh,2020,2,Winter
2.5,0.0,2020-02-12,edinburgh,2020,2,Winter
3.2,5.1,2020-02-13,edinburgh,2020,2,Winter
5.6,2.5,2020-02-14,edinburgh,2020,2,Winter
7.1,13.7,2020-02-15,edinburgh,2020,2,Winter
6.0,3.0,2020-02-16,edinburgh,2020,2,Winter
5.4,2.8,2020-02-17,edinburgh,2020,2,Winter
3.9,4.3,2020-02-18,edinburgh,2020,2,Winter
5.7,4.8,2020-02-19,edinburgh,2020,2,Winter
5.4,7.6,2020-02-20,edinburgh,2020,2,Winter
7.5,17.0,2020-02-21,edinburgh,2020,2,Winter
4.9,9.1,2020-02-22,edinburgh,2020,2,Winter
4.0,2.9,2020-02-23,edinburgh,2020,2,Winter
2.4,9.8,2020-02-24,edinburgh,2020,2,Winter
2.4,0.8,2020-02-25,edinburgh,2020,2,Winter
2.1,0.0,2020-02-26,edinburgh,2020,2,Winter
2.7,0.6,2020-02-27,edinburgh,2020,2,Winter
3.9,5.6,2020-02-28,edinburgh,2020,2,Winter
4.9,9.1,2020-02-29,edinburgh,2020,2,Winter
4.1,12.6,2020-03-01,edinburgh,2020,3,Spring
3.4,0.2,2020-03-02,edinburgh,2020,3,Spring
4.4,2.2,2020-03-03,edinburgh,2020,3,Spring
3.4,0.5,2020-03-04,edinburgh,2020,3,Spring
2.4,0.6,2020-03-05,edinburgh,2020,3,Spring
3.3,0.3,2020-03-06,edinburgh,2020,3,Spring
7.8,4.1,2020-03-07,edinburgh,2020,3,Spring
7.1,0.8,2020-03-08,edinburgh,2020,3,Spring
6.4,5.0,2020-03-09,edinburgh,2020,3,Spring
7.6,3.4,2020-03-10,edinburgh,2020,3,Spring
5.1,6.6,2020-03-11,edinburgh,2020,3,Spring
3.7,7.1,2020-03-12,edinburgh,2020,3,Spring
3.8,0.1,2020-03-13,edinburgh,2020,3,Spring
6.6,4.0,2020-03-14,edinburgh,2020,3,Spring
7.3,1.1,2020-03-15,edinburgh,2020,3,Spring
5.8,4.3,2020-03-16,edinburgh,2020,3,Spring
7.7,13.3,2020-03-17,edinburgh,2020,3,Spring
5.0,0.6,2020-03-18,edinburgh,2020,3,Spring
4.7,0.0,2020-03-19,edinburgh,2020,3,Spring
3.0,0.0,2020-03-20,edinburgh,2020,3,Spring
4.2,0.0,2020-03-21,edinburgh,2020,3,Spring
4.4,0.0,2020-03-22,edinburgh,2020,3,Spring
6.7,0.0,2020-03-23,edinburgh,2020,3,Spring
9.3,0.0,2020-03-24,edinburgh,2020,3,Spring
9.7,0.1,2020-03-25,edinburgh,2020,3,Spring
6.9,2.8,2020-03-26,edinburgh,2020,3,Spring
5.8,3.2,2020-03-27,edinburgh,2020,3,Spring
4.5,0.4,2020-03-28,edinburgh,2020,3,Spring
3.8,0.0,2020-03-29,edinburgh,2020,3,Spring
6.4,1.3,2020-03-30,edinburgh,2020,3,Spring
6.5,0.2,2020-03-31,edinburgh,2020,3,Spring
7.0,0.0,2020-04-01,edinburgh,2020,4,Spring
6.6,0.0,2020-04-02,edinburgh,2020,4,Spring
4.8,0.8,2020-04-03,edinburgh,2020,4,Spring
7.8,0.0,2020-04-04,edinburgh,2020,4,Spring
12.3,0.4,2020-04-05,edinburgh,2020,4,Spring
10.3,1.2,2020-04-06,edinburgh,2020,4,Spring
8.9,0.0,2020-04-07,edinburgh,2020,4,Spring
10.6,1.0,2020-04-08,edinburgh,2020,4,Spring
7.9,0.5,2020-04-09,edinburgh,2020,4,Spring
10.3,0.5,2020-04-10,edinburgh,2020,4,Spring
11.9,0.0,2020-04-11,edinburgh,2020,4,Spring
8.1,0.1,2020-04-12,edinburgh,2020,4,Spring
4.8,0.0,2020-04-13,edinburgh,2020,4,Spring
7.1,0.0,2020-04-14,edinburgh,2020,4,Spring
9.5,0.0,2020-04-15,edinburgh,2020,4,Spring
8.0,0.0,2020-04-16,edinburgh,2020,4,Spring
6.8,0.0,2020-04-17,edinburgh,2020,4,Spring
6.3,0.0,2020-04-18,edinburgh,2020,4,Spring
7.6,0.0,2020-04-19,edinburgh,2020,4,Spring
7.6,0.0,2020-04-20,edinburgh,2020,4,Spring
8.1,0.0,2020-04-21,edinburgh,2020,4,Spring
8.5,0.0,2020-04-22,edinburgh,2020,4,Spring
8.5,0.0,2020-04-23,edinburgh,2020,4,Spring
8.3,0.0,2020-04-24,edinburgh,2020,4,Spring
9.5,0.0,2020-04-25,edinburgh,2020,4,Spring
9.8,0.0,2020-04-26,edinburgh,2020,4,Spring
7.2,0.0,2020-04-27,edinburgh,2020,4,Spring
6.9,0.6,2020-04-28,edinburgh,2020,4,Spring
6.9,3.2,2020-04-29,edinburgh,2020,4,Spring
7.8,3.0,2020-04-30,edinburgh,2020,4,Spring
9.1,2.0,2020-05-01,edinburgh,2020,5,Spring
9.4,0.4,2020-05-02,edinburgh,2020,5,Spring
8.7,0.7,2020-05-03,edinburgh,2020,5,Spring
7.4,2.1,2020-05-04,edinburgh,2020,5,Spring
7.5,0.0,2020-05-05,edinburgh,2020,5,Spring
9.6,0.0,2020-05-06,edinburgh,2020,5,Spring
12.1,1.0,2020-05-07,edinburgh,2020,5,Spring
13.8,0.8,2020-05-08,edinburgh,2020,5,Spring
13.4,1.2,2020-05-09,edinburgh,2020,5,Spring
5.8,1.9,2020-05-10,edinburgh,2020,5,Spring
6.1,0.0,2020-05-11,edinburgh,2020,5,Spring
7.3,3.2,2020-05-12,edinburgh,2020,5,Spring
5.3,0.0,2020-05-13,edinburgh,2020,5,Spring
8.3,0.0,2020-05-14,edinburgh,2020,5,Spring
9.3,0.0,2020-05-15,edinburgh,2020,5,Spring
10.5,0.1,2020-05-16,edinburgh,2020,5,Spring
11.7,1.7,2020-05-17,edinburgh,2020,5,Spring
13.4,1.5,2020-05-18,edinburgh,2020,5,Spring
14.6,5.3,2020-05-19,edinburgh,2020,5,Spring
16.8,0.4,2020-05-20,edinburgh,2020,5,Spring
14.0,1.2,2020-05-21,edinburgh,2020,5,Spring
13.5,6.4,2020-05-22,edinburgh,2020,5,Spring
10.4,7.9,2020-05-23,edinburgh,2020,5,Spring
12.7,0.1,2020-05-24,edinburgh,2020,5,Spring
